OBJECTID,Precinct,TownshipName,TownshipCode,PrecinctName,PrecinctID,Label,PollingID,Format,LastEditor,LastUpdate,Notes,ShapeSTArea,ShapeSTLength
262,50034,Milton,5,Milton 34,5-34,34,152,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8486211.01201101,13938.770663201845
263,50023,Milton,5,Milton 23,5-23,23,149,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7181939.475183283,12182.515948262819
264,50025,Milton,5,Milton 25,5-25,25,712,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6774716.614172556,13418.548624565477
265,50036,Milton,5,Milton 36,5-36,36,180,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7766636.464858292,13646.13440586124
266,50033,Milton,5,Milton 33,5-33,33,80,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7742673.844063138,16137.135855479994
267,50057,Milton,5,Milton 57,5-57,57,100,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7140370.551315657,14010.556173161014
268,50016,Milton,5,Milton 16,5-16,16,851,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10987412.928021777,13620.418289522122
269,50063,Milton,5,Milton 63,5-63,63,372,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5638854.105827152,10656.192414932928
270,50022,Milton,5,Milton 22,5-22,22,149,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5162919.05161094,9266.237795541503
271,50062,Milton,5,Milton 62,5-62,62,486,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5705361.987409749,10271.442277162538
272,50079,Milton,5,Milton 79,5-79,79,190,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,18667053.233451407,20692.425993815054
273,50021,Milton,5,Milton 21,5-21,21,706,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,15610978.288557554,21444.81386133399
